,datetime,machineID,volt,rotate,pressure,vibration,model,age,anomaly,anomaly_final,date,time,volt_round,rotate_round,pressure_round,vibration_round,rotate_rate_change,rotate_rate_change_type,rotate_rate_change_abs,rotate_lag1,rotate_rate_change_lag1,rotate_rate_change_type_lag1,rotate_rate_change_abs_lag1,volt_rate_change,volt_rate_change_type,volt_rate_change_abs,volt_lag1,volt_rate_change_lag1,volt_rate_change_type_lag1,volt_rate_change_abs_lag1,pressure_rate_change,pressure_rate_change_type,pressure_rate_change_abs,pressure_lag1,pressure_rate_change_lag1,pressure_rate_change_type_lag1,pressure_rate_change_abs_lag1,vibration_rate_change,vibration_rate_change_type,vibration_rate_change_abs,vibration_lag1,vibration_rate_change_lag1,vibration_rate_change_type_lag1,vibration_rate_change_abs_lag1,machineID_lag1,model_lag1,age_lag1,description,description_absolute,description_lag1,description_absolute_lag1,failure_comp1,failure_comp2,failure_comp3,failure_comp4,maint_comp1,maint_comp2,maint_comp3,maint_comp4,error1,error2,error3,error4,error5,failure,maint,error,failure_ID
617,2015-01-01 21:00:00,43,189.70733194421,518.138644642561,104.342546308567,45.5255909839404,model3,14,False,There is no anomaly,2015-01-01,21:00:00,189.707332,518.138645,104.342546,45.525591,0.19161297338781985,increase,19.1613,434.821251710163,0.03134143308167365,increase,3.1341,0.19336682927243695,increase,19.3367,158.968162421499,-0.12920337236267515,decrease,12.9203,0.16997125397566754,increase,16.9971,89.1838546921573,0.07358160547909322,increase,7.3582,0.1263693529454198,increase,12.6369,40.4179950962732,-0.11392290601611271,decrease,11.3923,43.0,model3,14.0,"At at the time 21:00:00 in 2015-01-01, the machine which has machine ID 43 and model ID model3 and 14 age , has hourly average voltage increase about 19.3367 percent  and hourly average rotation increase about 19.1613 percent  and hourly average pressure increase about 16.9971 percent  and hourly average vibration increase about 12.6369 percent .","At the time 21:00:00 in 2015-01-01, the machine which has machine ID 43 and model ID model3 and 14 age , has hourly average voltage 189.707332 and hourly average rotation 518.138645 and hourly average pressure 104.342546 and hourly average vibration 45.525591 .","At at the time 20:00:00 in 2015-01-01, the machine which has machine ID 43 and model ID model3 and 14 age , has hourly average voltage decrease about 12.9203 percent  and hourly average rotation increase about 3.1341 percent  and hourly average pressure increase about 7.3582 percent  and hourly average vibration decrease about 11.3923 percent .","At the time 20:00:00 in 2015-01-01, the machine which has machine ID 43 and model ID model3 and 14 age , has hourly average voltage 158.968162 and hourly average rotation 434.821252 and hourly average pressure 89.183855 and hourly average vibration 40.417995 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
104,2015-01-02 00:00:00,9,156.89322189592,443.630812286818,109.145101085831,31.1029018844143,model4,7,False,There is no anomaly,2015-01-02,00:00:00,156.893222,443.630812,109.145101,31.102902,0.22297238046983262,increase,22.2972,362.748022254098,-0.2636077844303816,decrease,26.3608,-0.15415421327585446,decrease,15.4154,185.486792460772,0.03406250904079078,increase,3.4063,-0.040077063386401886,decrease,4.0077,113.701940981712,0.1649810504248061,increase,16.4981,-0.28212145670191563,decrease,28.2121,43.3261338910076,0.06495365779532436,increase,6.4954,9.0,model4,7.0,"At at the time 00:00:00 in 2015-01-02, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage decrease about 15.4154 percent  and hourly average rotation increase about 22.2972 percent  and hourly average pressure decrease about 4.0077 percent  and hourly average vibration decrease about 28.2121 percent .","At the time 00:00:00 in 2015-01-02, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage 156.893222 and hourly average rotation 443.630812 and hourly average pressure 109.145101 and hourly average vibration 31.102902 .","At at the time 23:00:00 in 2015-01-01, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage increase about 3.4063 percent  and hourly average rotation decrease about 26.3608 percent  and hourly average pressure increase about 16.4981 percent  and hourly average vibration increase about 6.4954 percent .","At the time 23:00:00 in 2015-01-01, the machine which has machine ID 9 and model ID model4 and 7 age , has hourly average voltage 185.486792 and hourly average rotation 362.748022 and hourly average pressure 113.701941 and hourly average vibration 43.326134 .",0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0
827,2015-01-02 03:00:00,58,167.187100087263,331.460659282228,106.277020711989,38.8086117118372,model1,5,True,There are some anomalies,2015-01-02,03:00:00,167.1871,331.460659,106.277021,38.808612,-0.2895191978563162,decrease,28.9519,466.530071301202,0.047689502731310916,increase,4.769,-0.054776896736129205,decrease,5.4777,176.875807954718,0.19749497524444595,increase,19.7495,0.10540784425075013,increase,10.5408,96.1428139530021,-0.034715573785554676,decrease,3.4716,-0.04103100902664673,decrease,4.1031,40.4690997072246,-0.13889268368916438,decrease,13.8893,58.0,model1,5.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage decrease about 5.4777 percent  and hourly average rotation decrease about 28.9519 percent  and hourly average pressure increase about 10.5408 percent  and hourly average vibration decrease about 4.1031 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage 167.1871 and hourly average rotation 331.460659 and hourly average pressure 106.277021 and hourly average vibration 38.808612 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage increase about 19.7495 percent  and hourly average rotation increase about 4.769 percent  and hourly average pressure decrease about 3.4716 percent  and hourly average vibration decrease about 13.8893 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 58 and model ID model1 and 5 age , has hourly average voltage 176.875808 and hourly average rotation 466.530071 and hourly average pressure 96.142814 and hourly average vibration 40.4691 .",0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
1155,2015-01-02 03:00:00,80,166.557578892785,419.798169785119,80.9906707879628,45.9208419475165,model3,6,True,There are some anomalies,2015-01-02,03:00:00,166.557579,419.79817,80.990671,45.920842,0.06685100384956066,increase,6.6851,393.49278228201,0.10170024918126622,increase,10.17,-0.08236220790940957,decrease,8.2362,181.506886844022,0.1685529747036864,increase,16.8553,-0.06900348413703003,decrease,6.9003,86.9935272667374,-0.21695573514528305,decrease,21.6956,0.06800902148317318,increase,6.8009,42.9966798255552,0.08084728145957402,increase,8.0847,80.0,model3,6.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 80 and model ID model3 and 6 age , has hourly average voltage decrease about 8.2362 percent  and hourly average rotation increase about 6.6851 percent  and hourly average pressure decrease about 6.9003 percent  and hourly average vibration increase about 6.8009 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 80 and model ID model3 and 6 age , has hourly average voltage 166.557579 and hourly average rotation 419.79817 and hourly average pressure 80.990671 and hourly average vibration 45.920842 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 80 and model ID model3 and 6 age , has hourly average voltage increase about 16.8553 percent  and hourly average rotation increase about 10.17 percent  and hourly average pressure decrease about 21.6956 percent  and hourly average vibration increase about 8.0847 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 80 and model ID model3 and 6 age , has hourly average voltage 181.506887 and hourly average rotation 393.492782 and hourly average pressure 86.993527 and hourly average vibration 42.99668 .",0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
1138,2015-01-02 03:00:00,79,206.934553918437,423.353298787419,110.745533472123,35.7086424517844,model3,14,True,There are some anomalies,2015-01-02,03:00:00,206.934554,423.353299,110.745533,35.708642,-0.07344791490203947,decrease,7.3448,456.912574690995,-0.09530851307314345,decrease,9.5309,0.003909520557919522,increase,0.391,206.12868956899,0.015047657981196469,increase,1.5048,0.1326507561594672,increase,13.2651,97.7755348415015,-0.032426259254317275,decrease,3.2426,0.0308763779161114,increase,3.0876,34.6391121348308,-0.2656436815666723,decrease,26.5644,79.0,model3,14.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 79 and model ID model3 and 14 age , has hourly average voltage increase about 0.391 percent  and hourly average rotation decrease about 7.3448 percent  and hourly average pressure increase about 13.2651 percent  and hourly average vibration increase about 3.0876 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 79 and model ID model3 and 14 age , has hourly average voltage 206.934554 and hourly average rotation 423.353299 and hourly average pressure 110.745533 and hourly average vibration 35.708642 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 79 and model ID model3 and 14 age , has hourly average voltage increase about 1.5048 percent  and hourly average rotation decrease about 9.5309 percent  and hourly average pressure decrease about 3.2426 percent  and hourly average vibration decrease about 26.5644 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 79 and model ID model3 and 14 age , has hourly average voltage 206.12869 and hourly average rotation 456.912575 and hourly average pressure 97.775535 and hourly average vibration 34.639112 .",1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
495,2015-01-02 03:00:00,35,174.495255128039,508.561648473027,90.8753108051197,37.3341851629811,model1,17,True,There are some anomalies,2015-01-02,03:00:00,174.495255,508.561648,90.875311,37.334185,0.1643358758466803,increase,16.4336,436.782597721823,0.05145749917098238,increase,5.1457,-0.009845515042241161,decrease,0.9846,176.230333527685,-0.126519791994141,decrease,12.652,-0.195623342332934,decrease,19.5623,112.976066546592,0.1644504337996399,increase,16.445,-0.01666802891532994,decrease,1.6668,37.9670205594957,-0.29241263801793366,decrease,29.2413,35.0,model1,17.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 35 and model ID model1 and 17 age , has hourly average voltage decrease about 0.9846 percent  and hourly average rotation increase about 16.4336 percent  and hourly average pressure decrease about 19.5623 percent  and hourly average vibration decrease about 1.6668 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 35 and model ID model1 and 17 age , has hourly average voltage 174.495255 and hourly average rotation 508.561648 and hourly average pressure 90.875311 and hourly average vibration 37.334185 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 35 and model ID model1 and 17 age , has hourly average voltage decrease about 12.652 percent  and hourly average rotation increase about 5.1457 percent  and hourly average pressure increase about 16.445 percent  and hourly average vibration decrease about 29.2413 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 35 and model ID model1 and 17 age , has hourly average voltage 176.230334 and hourly average rotation 436.782598 and hourly average pressure 112.976067 and hourly average vibration 37.967021 .",1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
1205,2015-01-02 03:00:00,83,186.639092431082,468.764380601309,93.0684885386158,46.737446329458,model4,18,True,There are some anomalies,2015-01-02,03:00:00,186.639092,468.764381,93.068489,46.737446,0.14926345326212342,increase,14.9263,407.882439201165,-0.18517942246863,decrease,18.5179,0.16738975635922065,increase,16.739,159.877274418751,0.026978680184599285,increase,2.6979,-0.030112398213271375,decrease,3.0112,95.9580144824667,-0.1494533905535413,decrease,14.9453,-0.10201032575211913,decrease,10.201,52.0467525070412,0.02939167821589403,increase,2.9392,83.0,model4,18.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 83 and model ID model4 and 18 age , has hourly average voltage increase about 16.739 percent  and hourly average rotation increase about 14.9263 percent  and hourly average pressure decrease about 3.0112 percent  and hourly average vibration decrease about 10.201 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 83 and model ID model4 and 18 age , has hourly average voltage 186.639092 and hourly average rotation 468.764381 and hourly average pressure 93.068489 and hourly average vibration 46.737446 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 83 and model ID model4 and 18 age , has hourly average voltage increase about 2.6979 percent  and hourly average rotation decrease about 18.5179 percent  and hourly average pressure decrease about 14.9453 percent  and hourly average vibration increase about 2.9392 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 83 and model ID model4 and 18 age , has hourly average voltage 159.877274 and hourly average rotation 407.882439 and hourly average pressure 95.958014 and hourly average vibration 52.046753 .",0,0,0,1,0,0,0,0,0,0,0,0,0,True,False,False,1
1048,2015-01-02 03:00:00,73,160.627895944546,393.58497179435,131.324463284982,32.2855425122324,model2,20,True,There are some anomalies,2015-01-02,03:00:00,160.627896,393.584972,131.324463,32.285543,-0.11017413693803574,decrease,11.0174,442.316848871971,0.3337404297626955,increase,33.374,-0.013157398304775763,decrease,1.3157,162.769519342411,-0.037829100236598176,decrease,3.7829,-0.041327982133913456,decrease,4.1328,136.985810410215,-0.020376562541144828,decrease,2.0377,-0.15919813473225697,decrease,15.9198,38.3985143776429,-0.15043155441512795,decrease,15.0432,73.0,model2,20.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 73 and model ID model2 and 20 age , has hourly average voltage decrease about 1.3157 percent  and hourly average rotation decrease about 11.0174 percent  and hourly average pressure decrease about 4.1328 percent  and hourly average vibration decrease about 15.9198 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 73 and model ID model2 and 20 age , has hourly average voltage 160.627896 and hourly average rotation 393.584972 and hourly average pressure 131.324463 and hourly average vibration 32.285543 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 73 and model ID model2 and 20 age , has hourly average voltage decrease about 3.7829 percent  and hourly average rotation increase about 33.374 percent  and hourly average pressure decrease about 2.0377 percent  and hourly average vibration decrease about 15.0432 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 73 and model ID model2 and 20 age , has hourly average voltage 162.769519 and hourly average rotation 442.316849 and hourly average pressure 136.98581 and hourly average vibration 38.398514 .",0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
1259,2015-01-02 03:00:00,86,202.671433559462,521.631954291674,92.6530823651704,36.4634811467003,model3,2,True,There are some anomalies,2015-01-02,03:00:00,202.671434,521.631954,92.653082,36.463481,0.3845631894891539,increase,38.4563,376.748391298872,-0.20585398317804224,decrease,20.5854,0.07338531330923005,increase,7.3385,188.815172936016,-0.03331666680603743,decrease,3.3317,-0.17658664594253476,decrease,17.6587,112.523171877905,0.09326327117982462,increase,9.3263,-0.10910278031237136,decrease,10.9103,40.9289425771082,-0.1091466524670466,decrease,10.9147,86.0,model3,2.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 86 and model ID model3 and 2 age , has hourly average voltage increase about 7.3385 percent  and hourly average rotation increase about 38.4563 percent  and hourly average pressure decrease about 17.6587 percent  and hourly average vibration decrease about 10.9103 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 86 and model ID model3 and 2 age , has hourly average voltage 202.671434 and hourly average rotation 521.631954 and hourly average pressure 92.653082 and hourly average vibration 36.463481 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 86 and model ID model3 and 2 age , has hourly average voltage decrease about 3.3317 percent  and hourly average rotation decrease about 20.5854 percent  and hourly average pressure increase about 9.3263 percent  and hourly average vibration decrease about 10.9147 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 86 and model ID model3 and 2 age , has hourly average voltage 188.815173 and hourly average rotation 376.748391 and hourly average pressure 112.523172 and hourly average vibration 40.928943 .",1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
310,2015-01-02 03:00:00,22,204.623416005207,426.794398989637,119.485199979061,44.0551513262013,model1,14,True,There are some anomalies,2015-01-02,03:00:00,204.623416,426.794399,119.4852,44.055151,-0.1398683025137728,decrease,13.9868,496.196571102963,0.07179239638966656,increase,7.1792,0.028639452273673684,increase,2.8639,198.926276406095,0.11406815133286384,increase,11.4068,0.16345399473129296,increase,16.3454,102.698689007172,0.07567523110261325,increase,7.5675,0.060900232785065296,increase,6.09,41.5261963045744,0.23196410096723527,increase,23.1964,22.0,model1,14.0,"At at the time 03:00:00 in 2015-01-02, the machine which has machine ID 22 and model ID model1 and 14 age , has hourly average voltage increase about 2.8639 percent  and hourly average rotation decrease about 13.9868 percent  and hourly average pressure increase about 16.3454 percent  and hourly average vibration increase about 6.09 percent .","At the time 03:00:00 in 2015-01-02, the machine which has machine ID 22 and model ID model1 and 14 age , has hourly average voltage 204.623416 and hourly average rotation 426.794399 and hourly average pressure 119.4852 and hourly average vibration 44.055151 .","At at the time 02:00:00 in 2015-01-02, the machine which has machine ID 22 and model ID model1 and 14 age , has hourly average voltage increase about 11.4068 percent  and hourly average rotation increase about 7.1792 percent  and hourly average pressure increase about 7.5675 percent  and hourly average vibration increase about 23.1964 percent .","At the time 02:00:00 in 2015-01-02, the machine which has machine ID 22 and model ID model1 and 14 age , has hourly average voltage 198.926276 and hourly average rotation 496.196571 and hourly average pressure 102.698689 and hourly average vibration 41.526196 .",1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1
